spillLogEntryTime run dataLog
14-Oct-2010 18:45:00 21499 9441
14-Oct-2010 18:57:00 21500 9442
14-Oct-2010 19:08:00 21501 9443
14-Oct-2010 19:14:00 21502 9444
14-Oct-2010 19:16:00 21503 9445
14-Oct-2010 19:30:00 21504 9446
14-Oct-2010 19:39:00 21505 9447
14-Oct-2010 19:50:00 21506 9448
14-Oct-2010 20:00:00 21507 9449
14-Oct-2010 20:11:00 21508 9450
14-Oct-2010 20:22:00 21509 9451
14-Oct-2010 20:37:00 21510 9452
14-Oct-2010 20:52:00 21511 9453
14-Oct-2010 21:01:00 21512 9454
14-Oct-2010 21:14:00 21513 9455
14-Oct-2010 21:29:00 21514 9456
14-Oct-2010 21:42:00 21515 9457
14-Oct-2010 21:49:00 21516 9458
14-Oct-2010 21:58:00 21517 9459
14-Oct-2010 21:59:00 21518 9460
14-Oct-2010 22:14:00 21519 9461
15-Oct-2010 15:13:00 21523 9462
15-Oct-2010 15:17:00 21524 9463
15-Oct-2010 15:28:00 21525 9464
15-Oct-2010 15:37:00 21526 9465
15-Oct-2010 16:20:00 21529 9466
15-Oct-2010 16:31:00 21530 9467
15-Oct-2010 16:40:00 21531 9468
15-Oct-2010 16:49:00 21532 9469
15-Oct-2010 16:59:00 21533 9470
15-Oct-2010 17:10:00 21534 9471
15-Oct-2010 17:25:00 21536 9473
15-Oct-2010 17:43:00 21537 9474
15-Oct-2010 17:44:00 21538 9475
15-Oct-2010 17:57:00 21539 9476
15-Oct-2010 18:16:00 21540 9477
15-Oct-2010 18:31:00 21541 9478
15-Oct-2010 18:38:00 21542 9479
15-Oct-2010 18:48:00 21543 9480
15-Oct-2010 18:56:00 21544 9481
15-Oct-2010 19:05:00 21545 9482
15-Oct-2010 19:20:00 21546 9483
15-Oct-2010 19:36:00 21547 9484
15-Oct-2010 19:52:00 21548 9485
15-Oct-2010 19:59:00 21549 9486
15-Oct-2010 20:08:00 21550 9487
15-Oct-2010 20:34:00 21551 9488
15-Oct-2010 20:49:00 21552 9489
15-Oct-2010 20:59:00 21553 9490
15-Oct-2010 21:12:00 21554 9491
15-Oct-2010 21:26:00 21555 9492
15-Oct-2010 21:39:00 21556 9493
15-Oct-2010 21:46:00 21558 9495
15-Oct-2010 21:48:00 21559 9496
15-Oct-2010 21:54:00 21560 9497
15-Oct-2010 22:03:00 21561 9498
15-Oct-2010 22:17:00 21562 9499
15-Oct-2010 22:34:00 21563 9500
15-Oct-2010 22:45:00 21564 9501
15-Oct-2010 22:59:00 21565 9502
15-Oct-2010 23:13:00 21566 9503
16-Oct-2010 11:15:00 21567 9504
16-Oct-2010 15:16:00 21568 9506
16-Oct-2010 15:24:00 21569 9508
16-Oct-2010 15:33:00 21570 9510
16-Oct-2010 15:43:00 21571 9512
16-Oct-2010 15:51:00 21572 9514
16-Oct-2010 15:58:00 21573 9516
16-Oct-2010 16:18:00 21574 9518
16-Oct-2010 16:28:00 21575 9520
16-Oct-2010 16:39:00 21577 9521
16-Oct-2010 16:54:00 21578 9522
16-Oct-2010 17:04:00 21579 9523
16-Oct-2010 17:17:00 21580 9524
16-Oct-2010 17:29:00 21581 9525
16-Oct-2010 17:43:00 21582 9526
16-Oct-2010 17:57:00 21583 9527
16-Oct-2010 17:58:00 21584 9528
16-Oct-2010 18:11:00 21585 9529
16-Oct-2010 18:26:00 21586 9530
16-Oct-2010 18:35:00 21587 9531
16-Oct-2010 18:39:00 21588 9532
16-Oct-2010 18:50:00 21589 9533
16-Oct-2010 19:01:00 21590 9534
16-Oct-2010 19:02:00 21591 9535
16-Oct-2010 19:18:00 21592 9536
16-Oct-2010 19:30:00 21593 9537
16-Oct-2010 19:44:00 21594 9538
16-Oct-2010 19:56:00 21595 9539
16-Oct-2010 20:16:00 21596 9540
16-Oct-2010 20:31:00 21597 9541
16-Oct-2010 20:44:00 21598 9542
16-Oct-2010 20:59:00 21599 9543
16-Oct-2010 21:15:00 21600 9544
16-Oct-2010 21:29:00 21601 9545
16-Oct-2010 21:43:00 21602 9546
16-Oct-2010 21:57:00 21603 9547
16-Oct-2010 22:11:00 21604 9548
16-Oct-2010 22:27:00 21605 9549
16-Oct-2010 22:41:00 21606 9550
16-Oct-2010 22:55:00 21607 9551
16-Oct-2010 23:10:00 21608 9552
17-Oct-2010 12:08:00 21609 9553
17-Oct-2010 12:22:00 21610 9554
17-Oct-2010 12:34:00 21611 9555
17-Oct-2010 15:14:00 21612 9556
17-Oct-2010 15:21:00 21613 9557
17-Oct-2010 15:31:00 21614 9558
17-Oct-2010 15:40:00 21615 9559
17-Oct-2010 15:45:00 21616 9560
17-Oct-2010 15:55:00 21617 9562
17-Oct-2010 16:05:00 21618 9564
17-Oct-2010 16:19:00 21619 9566
17-Oct-2010 16:32:00 21620 9568
17-Oct-2010 16:42:00 21621 9570
17-Oct-2010 16:52:00 21622 9572
17-Oct-2010 17:00:00 21623 9574
17-Oct-2010 17:10:00 21624 9576
17-Oct-2010 17:31:00 21625 9578
17-Oct-2010 18:15:00 21626 9580
17-Oct-2010 18:23:00 21627 9582
17-Oct-2010 18:37:00 21628 9584
17-Oct-2010 18:49:00 21629 9586
17-Oct-2010 19:11:00 21630 9588
17-Oct-2010 19:25:00 21631 9590
17-Oct-2010 19:45:00 21632 9592
17-Oct-2010 20:00:00 21633 9594
17-Oct-2010 20:19:00 21634 9596
17-Oct-2010 20:37:00 21635 9598
17-Oct-2010 20:46:00 21636 9600
17-Oct-2010 21:10:00 21637 9602
17-Oct-2010 21:25:00 21638 9604
17-Oct-2010 21:40:00 21639 9606
17-Oct-2010 21:54:00 21640 9608
17-Oct-2010 22:09:00 21641 9610
17-Oct-2010 22:23:00 21642 9612
17-Oct-2010 22:40:00 21643 9614
17-Oct-2010 22:54:00 21644 9616
17-Oct-2010 23:08:00 21645 9618
17-Oct-2010 23:20:00 21646 9620
21-Oct-2010 16:24:00 21647 9622
21-Oct-2010 17:20:00 21648 9624
22-Oct-2010 12:27:00 21649 9626
25-Oct-2010 14:27:00 21650 9627
25-Oct-2010 14:39:00 21651 9628
26-Oct-2010 08:13:00 21653 9629
26-Oct-2010 08:42:00 21654 9630
26-Oct-2010 09:50:00 21655 9631
26-Oct-2010 10:21:00 21658 9632
26-Oct-2010 10:35:00 21659 9633
27-Oct-2010 07:08:00 21660 9634
27-Oct-2010 07:35:00 21661 9635
27-Oct-2010 09:26:00 21662 9636
27-Oct-2010 09:36:00 21663 9637
27-Oct-2010 09:45:00 21664 9638
27-Oct-2010 09:49:00 21665 9639
27-Oct-2010 09:58:00 21666 9640
27-Oct-2010 10:14:00 21667 9641
27-Oct-2010 10:24:00 21668 9642
27-Oct-2010 10:36:00 21669 9643
27-Oct-2010 10:46:00 21670 9644
27-Oct-2010 10:58:00 21671 9645
27-Oct-2010 12:23:00 21672 9646
27-Oct-2010 12:29:00 21673 9647
27-Oct-2010 12:35:00 21674 9648
27-Oct-2010 12:44:00 21675 9649
27-Oct-2010 13:03:00 21676 9650
27-Oct-2010 13:12:00 21677 9651
27-Oct-2010 13:22:00 21678 9652
